Date,Open,High,Low,Close
03/30/2020,466.28,466.28,466.28,466.28
03/27/2020,467.99,467.99,467.99,467.99
03/26/2020,520.73,520.73,520.73,520.73
03/25/2020,514.96,514.96,514.96,514.96
03/24/2020,476.74,476.74,476.74,476.74
03/23/2020,426.49,426.49,426.49,426.49
03/20/2020,413.09,413.09,413.09,413.09
03/19/2020,377.03,377.03,377.03,377.03
03/18/2020,338.56,338.56,338.56,338.56
03/17/2020,404.58,404.58,404.58,404.58
03/16/2020,416.6,416.6,416.6,416.6
03/13/2020,545.15,545.15,545.15,545.15
03/12/2020,503.35,503.35,503.35,503.35
03/11/2020,588.52,588.52,588.52,588.52
03/10/2020,656.5,656.5,656.5,656.5
03/09/2020,599.54,599.54,599.54,599.54
03/06/2020,672.22,672.22,672.22,672.22
03/05/2020,679.56,679.56,679.56,679.56
03/04/2020,732.88,732.88,732.88,732.88
03/03/2020,720.72,720.72,720.72,720.72
03/02/2020,756.6,756.6,756.6,756.6
02/28/2020,755.01,755.01,755.01,755.01
02/27/2020,772.75,772.75,772.75,772.75
02/26/2020,789.3,789.3,789.3,789.3
02/25/2020,813.05,813.05,813.05,813.05
02/24/2020,853.42,853.42,853.42,853.42
02/21/2020,898.66,898.66,898.66,898.66
02/20/2020,923.37,923.37,923.37,923.37
02/19/2020,932.45,932.45,932.45,932.45
02/18/2020,923.35,923.35,923.35,923.35
02/17/2020,916.62,916.62,916.62,916.62
02/14/2020,916.62,916.62,916.62,916.62
02/13/2020,925.03,925.03,925.03,925.03
02/12/2020,948.83,948.83,948.83,948.83
02/11/2020,924.33,924.33,924.33,924.33
02/10/2020,909.39,909.39,909.39,909.39
02/07/2020,892.81,892.81,892.81,892.81
02/06/2020,923.39,923.39,923.39,923.39
02/05/2020,911.52,911.52,911.52,911.52
02/04/2020,909.74,909.74,909.74,909.74
02/03/2020,887.79,887.79,887.79,887.79
01/31/2020,874.28,874.28,874.28,874.28
01/30/2020,883.61,883.61,883.61,883.61
01/29/2020,871.07,871.07,871.07,871.07
01/28/2020,867.48,867.48,867.48,867.48
01/27/2020,853.94,853.94,853.94,853.94
01/24/2020,898.81,898.81,898.81,898.81
01/23/2020,917.58,917.58,917.58,917.58
01/22/2020,915,915,915,915
01/21/2020,923.47,923.47,923.47,923.47
01/20/2020,971.35,971.35,971.35,971.35
01/17/2020,971.35,971.35,971.35,971.35
01/16/2020,965.32,965.32,965.32,965.32
01/15/2020,949.65,949.65,949.65,949.65
01/14/2020,952.95,952.95,952.95,952.95
01/13/2020,944.4,944.4,944.4,944.4
01/10/2020,929.8,929.8,929.8,929.8
01/09/2020,935.49,935.49,935.49,935.49
01/08/2020,931.08,931.08,931.08,931.08
01/07/2020,923.21,923.21,923.21,923.21
01/06/2020,922.07,922.07,922.07,922.07
01/03/2020,923.15,923.15,923.15,923.15
01/02/2020,935.13,935.13,935.13,935.13
